order_day,revenue,running_revenue
2002-12-31,10.5,10.5
2008-12-31,136.58,147.08
2009-01-01,59.4,206.48000000000002
2023-12-31,1165078.9799999867,1165285.4599999867
2024-01-01,2759548.3099999,3924833.769999887
2024-01-02,3426053.5999997086,7350887.369999595
2024-01-03,3427735.069999791,10778622.439999387
2024-01-04,4007286.519999738,14785908.959999125
2024-01-05,4090136.229999748,18876045.189998873
2024-01-06,3649025.839999859,22525071.02999873
2024-01-07,2522943.5999999177,25048014.629998647
2024-01-08,2988834.109999857,28036848.739998505
2024-01-09,3083104.5299998866,31119953.26999839
2024-01-10,3340740.0499998564,34460693.31999825
2024-01-11,3911139.919999793,38371833.23999804
2024-01-12,4191198.2399997725,42563031.47999781
2024-01-13,3911571.6999997892,46474603.1799976
2024-01-14,3215530.439999854,49690133.61999746
2024-01-15,2958171.9399998034,52648305.55999726
2024-01-16,3435536.0699998485,56083841.62999711
2024-01-17,3809164.0799997663,59893005.70999688
2024-01-18,3866457.9599998086,63759463.66999669
2024-01-19,3623149.589999808,67382613.25999649
2024-01-20,3719346.049999864,71101959.30999635
2024-01-21,2723508.149999883,73825467.45999624
2024-01-22,3071184.9099997934,76896652.36999603
2024-01-23,3383979.379999882,80280631.7499959
2024-01-24,3580195.7299998235,83860827.47999573
2024-01-25,3956940.3899997612,87817767.86999549
2024-01-26,4094214.25999982,91911982.12999532
2024-01-27,3967894.349999827,95879876.47999515
2024-01-28,2815389.969999882,98695266.44999503
2024-01-29,3041265.8699998087,101736532.31999484
2024-01-30,3354991.3399998345,105091523.65999468
2024-01-31,3302438.0699998084,108393961.72999449
